accuracy,adversarial,avg_agreement_rate,avg_cost_usd,avg_dissent_rate,avg_exposure_density,avg_mean_exposure_load,avg_tokens_in,avg_tokens_out,brier_score,ccs,ccs_corrections,ccs_opportunities,chs,chs_harms,chs_opportunities,config,dataset,ece,method,model,n,output_dir,pci,pci_contaminated_switches,pci_exposed_switches,pds,run_type,seed,variant,wcr
0.0,False,0.35,0.0,0.65,0.18194444444444444,1.4555555555555555,2286.65,1528.55,0.191462464090775,0.0,0.0,75.0,0.0,0.0,0.0,outputs/a100_full_v10/configs/main/mistral_latest/seed_42.yaml,aime2024,0.3963029604567121,cider_verified,mistral:latest,20,outputs/a100_full_v10/main/mistral_latest/seed_42,0.16923076923076924,11.0,65.0,0.8666666666666667,main,42,all_methods,0.1
0.09,False,0.4344444444444444,0.0,0.5655555555555556,0.1798611111111111,1.4388888888888889,1823.26,858.04,0.30017871983675676,0.16467065868263472,55.0,334.0,0.7096774193548387,22.0,31.0,outputs/a100_full_v10/configs/main/mistral_latest/seed_42.yaml,gsm8k,0.4478616003676561,cider_verified,mistral:latest,100,outputs/a100_full_v10/main/mistral_latest/seed_42,0.0736196319018405,24.0,326.0,0.8931506849315068,main,42,all_methods,0.09
0.08,False,0.45444444444444443,0.0,0.5455555555555556,0.18125,1.45,1953.16,991.14,0.2819071195049907,0.04216867469879518,14.0,332.0,0.5161290322580645,16.0,31.0,outputs/a100_full_v10/configs/main/mistral_latest/seed_42.yaml,math500,0.4488384819290345,cider_verified,mistral:latest,100,outputs/a100_full_v10/main/mistral_latest/seed_42,0.19322033898305085,57.0,295.0,0.8126721763085399,main,42,all_methods,0.15
0.52,False,0.69,0.0,0.31,0.18291666666666667,1.4633333333333334,1710.97,502.48,0.3220713384923632,0.20512820512820512,40.0,195.0,0.4497354497354497,85.0,189.0,outputs/a100_full_v10/configs/main/mistral_latest/seed_42.yaml,medmcqa,0.29069458652337166,cider_verified,mistral:latest,100,outputs/a100_full_v10/main/mistral_latest/seed_42,0.13297872340425532,25.0,188.0,0.4895833333333333,main,42,all_methods,0.33
0.42,False,0.7511111111111112,0.0,0.24888888888888888,0.1802777777777778,1.4422222222222223,3426.74,758.7,0.43226733761588904,0.2304147465437788,50.0,217.0,0.44970414201183434,76.0,169.0,outputs/a100_full_v10/configs/main/mistral_latest/seed_42.yaml,medqa,0.425486057093562,cider_verified,mistral:latest,100,outputs/a100_full_v10/main/mistral_latest/seed_42,0.1130952380952381,19.0,168.0,0.43523316062176165,main,42,all_methods,0.44
0.29,False,0.6566666666666667,0.0,0.3433333333333334,0.1826388888888889,1.4611111111111112,3001.49,748.1,0.42123731263244685,0.13503649635036497,37.0,274.0,0.46226415094339623,49.0,106.0,outputs/a100_full_v10/configs/main/mistral_latest/seed_42.yaml,mmlu_pro,0.47499415884550583,cider_verified,mistral:latest,100,outputs/a100_full_v10/main/mistral_latest/seed_42,0.25806451612903225,56.0,217.0,0.5710526315789474,main,42,all_methods,0.41
0.49,False,0.8211111111111111,0.0,0.1788888888888889,0.1788888888888889,1.4311111111111112,1334.31,405.35,0.43066674336410143,0.32978723404255317,62.0,188.0,0.34183673469387754,67.0,196.0,outputs/a100_full_v10/configs/main/mistral_latest/seed_42.yaml,strategyqa,0.4192457758124418,cider_verified,mistral:latest,100,outputs/a100_full_v10/main/mistral_latest/seed_42,0.13178294573643412,17.0,129.0,0.3359375,main,42,all_methods,0.37
0.68,False,0.6977777777777777,0.0,0.3022222222222222,0.1809722222222222,1.4477777777777776,1772.87,392.85,0.23822332908916313,0.3356164383561644,49.0,146.0,0.4340425531914894,102.0,235.0,outputs/a100_full_v10/configs/main/mistral_latest/seed_42.yaml,truthfulqa_mc,0.18256645972375085,cider_verified,mistral:latest,100,outputs/a100_full_v10/main/mistral_latest/seed_42,0.031914893617021274,6.0,188.0,0.49343832020997375,main,42,all_methods,0.25
0.0,False,0.45,0.0,0.55,0.0,0.0,618.3,751.55,0.271875,0.0,0.0,0.0,0.0,0.0,0.0,outputs/a100_full_v10/configs/main/mistral_latest/seed_42.yaml,aime2024,0.47916666666666663,conformal_social_choice,mistral:latest,20,outputs/a100_full_v10/main/mistral_latest/seed_42,0.0,0.0,0.0,0.0,main,42,all_methods,0.2
0.09,False,0.71,0.0,0.29,0.0,0.0,428.98,398.74,0.5273611111111112,0.0,0.0,0.0,0.0,0.0,0.0,outputs/a100_full_v10/configs/main/mistral_latest/seed_42.yaml,gsm8k,0.6266666666666667,conformal_social_choice,mistral:latest,100,outputs/a100_full_v10/main/mistral_latest/seed_42,0.0,0.0,0.0,0.0,main,42,all_methods,0.5
0.09,False,0.655,0.0,0.345,0.0,0.0,484.94,471.76,0.4924305555555556,0.0,0.0,0.0,0.0,0.0,0.0,outputs/a100_full_v10/configs/main/mistral_latest/seed_42.yaml,math500,0.6141666666666666,conformal_social_choice,mistral:latest,100,outputs/a100_full_v10/main/mistral_latest/seed_42,0.0,0.0,0.0,0.0,main,42,all_methods,0.46
0.53,False,0.8475,0.0,0.1525,0.0,0.0,424.21,216.01,0.383125,0.0,0.0,0.0,0.0,0.0,0.0,outputs/a100_full_v10/configs/main/mistral_latest/seed_42.yaml,medmcqa,0.3275,conformal_social_choice,mistral:latest,100,outputs/a100_full_v10/main/mistral_latest/seed_42,0.0,0.0,0.0,0.0,main,42,all_methods,0.37
0.43,False,0.9175,0.0,0.0825,0.0,0.0,1166.93,340.53,0.49006944444444445,0.0,0.0,0.0,0.0,0.0,0.0,outputs/a100_full_v10/configs/main/mistral_latest/seed_42.yaml,medqa,0.48916666666666664,conformal_social_choice,mistral:latest,100,outputs/a100_full_v10/main/mistral_latest/seed_42,0.0,0.0,0.0,0.0,main,42,all_methods,0.49
0.27,False,0.79,0.0,0.21,0.0,0.0,980.66,373.19,0.45625,0.0,0.0,0.0,0.0,0.0,0.0,outputs/a100_full_v10/configs/main/mistral_latest/seed_42.yaml,mmlu_pro,0.5283333333333333,conformal_social_choice,mistral:latest,100,outputs/a100_full_v10/main/mistral_latest/seed_42,0.0,0.0,0.0,0.0,main,42,all_methods,0.51
0.53,False,0.93,0.0,0.07,0.0,0.0,278.23,179.23,0.451875,0.0,0.0,0.0,0.0,0.0,0.0,outputs/a100_full_v10/configs/main/mistral_latest/seed_42.yaml,strategyqa,0.4425,conformal_social_choice,mistral:latest,100,outputs/a100_full_v10/main/mistral_latest/seed_42,0.0,0.0,0.0,0.0,main,42,all_methods,0.45
0.56,False,0.855,0.0,0.145,0.0,0.0,483.28,165.81,0.261875,0.0,0.0,0.0,0.0,0.0,0.0,outputs/a100_full_v10/configs/main/mistral_latest/seed_42.yaml,truthfulqa_mc,0.3025,conformal_social_choice,mistral:latest,100,outputs/a100_full_v10/main/mistral_latest/seed_42,0.0,0.0,0.0,0.0,main,42,all_methods,0.28
